2018/10/07 14:03:48	|	process pid: 1988  	|	   18 attempt	|	    3 successful click	|	    0 timeout	|	    15 recaptcha 	|	    0 error
2018/10/08 16:01:21	|	process pid: 7180  	|	    2 attempt	|	    1 successful click	|	    2 timeout	|	     0 recaptcha 	|	    0 error
2018/10/08 16:01:22	|	process pid: 7180  	|	    2 attempt	|	    2 successful click	|	    2 timeout	|	     0 recaptcha 	|	    0 error
2018/10/08 16:01:35	|	process pid: 7180  	|	    4 attempt	|	    2 successful click	|	    2 timeout	|	     1 recaptcha 	|	    0 error
2018/10/08 16:01:36	|	process pid: 7180  	|	    4 attempt	|	    2 successful click	|	    2 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:01:43	|	process pid: 7180  	|	    6 attempt	|	    2 successful click	|	    2 timeout	|	     3 recaptcha 	|	    0 error
2018/10/08 16:01:45	|	process pid: 7180  	|	    6 attempt	|	    2 successful click	|	    2 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:03:48	|	process pid: 11648 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/08 16:03:49	|	process pid: 11648 	|	    2 attempt	|	    0 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:04:10	|	process pid: 11648 	|	    4 attempt	|	    1 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:04:10	|	process pid: 11648 	|	    4 attempt	|	    2 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:04:49	|	process pid: 8268  	|	    1 attempt	|	    1 successful click	|	    0 timeout	|	     0 recaptcha 	|	    0 error
2018/10/08 16:05:03	|	process pid: 8268  	|	    2 attempt	|	    1 successful click	|	    0 timeout	|	     1 recaptcha 	|	    0 error
2018/10/08 16:05:11	|	process pid: 8268  	|	    3 attempt	|	    1 successful click	|	    0 timeout	|	     2 recaptcha 	|	    0 error
2018/10/08 16:05:18	|	process pid: 8268  	|	    4 attempt	|	    1 successful click	|	    0 timeout	|	     3 recaptcha 	|	    0 error
2018/10/08 16:05:26	|	process pid: 8268  	|	    5 attempt	|	    1 successful click	|	    0 timeout	|	     4 recaptcha 	|	    0 error
2018/10/08 16:05:33	|	process pid: 8268  	|	    6 attempt	|	    1 successful click	|	    0 timeout	|	     5 recaptcha 	|	 3290 error
